canCode,Initial_pH,Initial_Brix,Temperature
AR001,6.5,12.0,5
AR002,6.5,12.0,28
AR003,5.8,10.0,30
AR004,5.5,9.5,34
AR005,6.4,11.8,6
AR008,6.0,11.0,29
AR009,5.7,9.8,33
AR010,6.2,11.5,4
AR011,5.9,10.5,31
AR012,6.3,11.2,27
AR013,5.6,9.6,35
AR014,6.5,12.1,7
AR015,6.1,10.8,30
AR016,5.4,9.0,36
AR017,6.4,11.9,5
AR018,5.9,10.2,32
AR019,6.2,11.4,25
AR020,5.8,9.9,31
AR021,6.6,12.5,4
AR022,5.7,10.1,29
AR023,6.0,11.3,8
AR024,5.5,9.2,33
AR025,6.3,11.7,26
AR026,5.8,10.4,31
AR027,6.1,11.0,10
AR028,5.6,9.7,34
AR029,6.4,12.0,6
AR030,5.9,10.6,28
AR031,6.2,11.6,15
AR032,5.4,9.3,35
AR033,6.5,11.8,22
AR034,5.7,10.0,30
AR035,6.0,10.9,12
