Initial_pH,Initial_Brix,Temperature,Time_Until_Spoilage_Hours
6.5,12.0,28,14.5
6.5,12.0,5,36.0
6.2,11.5,30,12.0
6.2,11.5,4,48.0
5.8,10.0,32,8.5
5.8,10.0,6,24.0
6.0,11.0,29,10.0
6.0,11.0,8,20.0
5.5,9.5,34,5.0
5.5,9.5,10,14.0
6.4,11.8,28,14.0
6.4,11.8,5,38.0
5.9,10.5,31,9.0
5.9,10.5,4,45.0
6.1,11.2,30,11.0
6.1,11.2,6,28.0
5.7,9.8,33,7.0
5.7,9.8,8,18.0
6.3,11.6,29,13.0
6.3,11.6,5,34.0
6.2,10.5,27,19.7
6.1,12.1,11,29.0
5.9,11.8,29,17.7
5.6,12.2,5,41.0
5.8,11.5,35,10.1
5.6,11.7,11,24.0
6.1,10.1,33,8.4
6.6,11.1,6,39.9
6.0,9.7,30,15.7
6.4,11.1,7,40.9
6.2,12.4,29,16.9
6.4,10.7,4,43.5
6.5,9.5,27,21.0
6.5,9.2,7,31.7
6.4,9.5,27,20.8
6.2,11.2,11,26.1
6.0,11.3,35,7.4
5.8,9.5,6,37.7
6.1,11.1,29,16.7
6.3,10.3,5,42.7
6.3,11.5,28,18.6
5.6,12.3,11,26.1
5.8,10.1,25,21.2
5.7,10.8,11,25.1
5.9,10.9,31,12.1
6.5,10.5,12,21.9
6.0,12.0,34,9.8
5.5,11.2,10,27.6
6.5,11.9,26,23.0
5.8,11.1,4,47.2
6.3,9.9,25,23.7
5.9,11.3,11,29.4
5.9,9.5,34,7.5
5.6,9.6,11,25.2
5.9,10.7,27,20.1
6.6,9.5,11,27.0
5.6,9.3,33,10.2
6.3,10.6,7,37.8
6.2,9.4,31,11.7
6.1,11.4,12,22.3
6.4,11.0,29,19.7
6.4,10.1,10,28.4
6.0,11.2,30,16.1
6.0,10.3,7,38.0
6.2,10.0,34,8.6
6.6,9.6,12,24.2
6.1,11.0,33,11.7
6.4,10.4,9,35.5
6.1,11.4,28,18.5
6.4,10.1,9,34.5
5.6,10.2,29,15.9
6.1,9.8,10,25.8
6.6,11.1,28,20.0
6.6,9.4,9,27.0
6.3,12.4,32,14.9
6.3,11.7,10,33.0
6.5,12.4,27,23.1
6.6,10.5,6,42.9
5.9,11.4,27,21.8
6.1,9.1,5,38.7
6.0,9.9,30,15.7
5.6,10.3,5,40.9
6.4,12.2,28,18.6
6.6,12.3,6,45.0
6.4,9.1,29,16.4
6.4,10.7,11,27.1
5.7,11.1,29,16.4
6.3,12.2,5,47.4
6.6,10.7,26,22.0
6.3,12.1,9,33.8
6.3,11.7,34,9.3
6.1,9.3,5,40.4
6.6,11.3,26,23.2
6.3,9.5,11,26.4
6.5,9.9,35,6.3
6.1,10.5,11,27.4
6.4,11.1,35,8.2
6.2,9.9,6,42.3
6.3,10.7,33,10.2
6.4,11.6,10,32.7
5.9,10.9,31,14.4
6.3,10.9,12,22.5
6.1,10.9,26,19.7
5.6,12.0,7,35.4
6.2,12.2,29,17.8
5.9,11.8,12,23.8
6.3,10.0,30,16.6
6.3,11.0,11,26.5
5.7,9.9,35,5.8
6.1,11.3,6,39.7
6.2,10.4,35,6.4
6.4,9.3,11,22.9
5.9,10.5,30,14.7
6.1,10.4,6,39.1
6.2,12.2,33,10.8
6.2,10.7,4,49.0
6.4,10.8,26,23.6
5.6,10.2,5,43.3
5.7,11.2,35,7.3
6.0,10.5,8,35.8
6.2,11.2,32,11.2
6.3,9.5,6,38.0
5.8,9.9,27,18.0
5.9,10.6,5,43.0
5.6,12.3,32,11.2
5.8,10.5,4,46.9
5.6,10.2,29,16.5
6.2,11.5,9,34.7
6.2,11.7,32,13.9
6.2,11.1,4,47.7
5.9,11.1,26,21.3
5.5,9.2,9,25.2
5.7,12.3,30,16.1
6.5,9.3,10,25.3
5.9,11.4,31,12.9
5.7,11.8,12,20.5
6.3,11.8,33,14.3
6.0,11.4,4,48.0
5.6,11.2,28,16.7
5.7,11.3,11,27.9
6.0,11.6,27,18.9
5.7,9.3,4,43.9
6.0,11.7,27,18.8
6.0,9.4,5,44.2
5.6,10.2,28,18.7
